testcase,alpha,max_no_improve,reheat_ratio,k,cost
large_21_N50_M1000,0.995,2000,0.5,0,515202
large_21_N50_M1000,0.995,2000,0.3,2,507816
large_21_N50_M1000,0.999,1000,0.2,0,515202
large_21_N50_M1000,0.999,1000,0.3,1,508115
large_21_N50_M1000,0.999,1000,0.2,1,508115
large_21_N50_M1000,0.999,1000,0.2,2,507816
large_21_N50_M1000,0.999,1000,0.3,0,515202
large_21_N50_M1000,0.999,1000,0.3,2,507816
large_21_N50_M1000,0.999,1000,0.5,0,515202
large_21_N50_M1000,0.999,1000,0.5,1,508115
large_21_N50_M1000,0.999,2000,0.2,0,515202
large_21_N50_M1000,0.999,1000,0.5,2,507816
large_21_N50_M1000,0.999,2000,0.3,0,515202
large_21_N50_M1000,0.999,2000,0.2,1,508115
large_21_N50_M1000,0.999,2000,0.3,1,508115
large_21_N50_M1000,0.999,2000,0.2,2,507816
large_21_N50_M1000,0.999,2000,0.3,2,507816
large_22_N50_M1000,0.99,1000,0.2,0,498268
large_21_N50_M1000,0.999,2000,0.5,0,515202
large_21_N50_M1000,0.999,2000,0.5,1,508115
large_21_N50_M1000,0.999,2000,0.5,2,507816
large_22_N50_M1000,0.99,1000,0.2,1,509113
large_22_N50_M1000,0.99,1000,0.2,2,512794
large_22_N50_M1000,0.99,1000,0.3,0,498268
large_22_N50_M1000,0.99,1000,0.3,1,509113
large_22_N50_M1000,0.99,1000,0.3,2,512794
large_22_N50_M1000,0.99,2000,0.2,0,498268
large_22_N50_M1000,0.99,1000,0.5,0,498268
large_22_N50_M1000,0.99,1000,0.5,1,509113
large_22_N50_M1000,0.99,1000,0.5,2,512794
large_22_N50_M1000,0.99,2000,0.2,1,509113
large_22_N50_M1000,0.99,2000,0.3,0,498268
large_22_N50_M1000,0.99,2000,0.2,2,512794
large_22_N50_M1000,0.99,2000,0.3,1,509113
large_22_N50_M1000,0.99,2000,0.5,0,498268
large_22_N50_M1000,0.99,2000,0.3,2,512794
large_22_N50_M1000,0.99,2000,0.5,1,509113
large_22_N50_M1000,0.995,1000,0.2,0,498268
large_22_N50_M1000,0.995,1000,0.2,1,509113
large_22_N50_M1000,0.99,2000,0.5,2,512794
large_22_N50_M1000,0.995,1000,0.3,1,509113
large_22_N50_M1000,0.995,1000,0.2,2,512794
large_22_N50_M1000,0.995,1000,0.3,0,498268
large_22_N50_M1000,0.995,1000,0.3,2,512794
large_22_N50_M1000,0.995,1000,0.5,0,498268
large_22_N50_M1000,0.995,1000,0.5,2,512794
large_22_N50_M1000,0.995,1000,0.5,1,509113
large_22_N50_M1000,0.995,2000,0.2,0,498268
large_22_N50_M1000,0.995,2000,0.2,2,512794
large_22_N50_M1000,0.995,2000,0.2,1,509113
large_22_N50_M1000,0.995,2000,0.3,0,498268
large_22_N50_M1000,0.995,2000,0.5,0,498268
large_22_N50_M1000,0.995,2000,0.3,2,512794
large_22_N50_M1000,0.995,2000,0.3,1,509113
large_22_N50_M1000,0.995,2000,0.5,2,512794
large_22_N50_M1000,0.995,2000,0.5,1,509113
large_22_N50_M1000,0.999,1000,0.2,0,498268
large_22_N50_M1000,0.999,1000,0.2,1,509113
large_22_N50_M1000,0.999,1000,0.2,2,512794
large_22_N50_M1000,0.999,1000,0.3,1,509113
large_22_N50_M1000,0.999,1000,0.3,0,498268
large_22_N50_M1000,0.999,1000,0.3,2,512794
large_22_N50_M1000,0.999,1000,0.5,1,509113
large_22_N50_M1000,0.999,1000,0.5,0,498268
large_22_N50_M1000,0.999,1000,0.5,2,512794
medium_14_N30_M250,0.99,1000,0.2,0,66127
medium_14_N30_M250,0.99,1000,0.2,1,66483
large_22_N50_M1000,0.999,2000,0.2,0,498268
medium_14_N30_M250,0.99,1000,0.2,2,65457
large_22_N50_M1000,0.999,2000,0.2,1,509113
medium_14_N30_M250,0.99,1000,0.3,0,66603
large_22_N50_M1000,0.999,2000,0.2,2,512794
large_22_N50_M1000,0.999,2000,0.3,0,498268
large_22_N50_M1000,0.999,2000,0.3,1,509113
large_22_N50_M1000,0.999,2000,0.5,0,498268
large_22_N50_M1000,0.999,2000,0.3,2,512794
large_22_N50_M1000,0.999,2000,0.5,2,512794
large_22_N50_M1000,0.999,2000,0.5,1,509113
medium_14_N30_M250,0.99,1000,0.3,1,66267
medium_14_N30_M250,0.99,1000,0.3,2,66490
medium_14_N30_M250,0.99,1000,0.5,0,66300
medium_14_N30_M250,0.99,1000,0.5,1,66702
medium_14_N30_M250,0.99,1000,0.5,2,66484
medium_14_N30_M250,0.99,2000,0.2,0,66397
medium_14_N30_M250,0.99,2000,0.2,1,66250
medium_14_N30_M250,0.99,2000,0.2,2,66501
medium_14_N30_M250,0.99,2000,0.3,0,66397
medium_14_N30_M250,0.99,2000,0.3,1,66250
medium_14_N30_M250,0.99,2000,0.3,2,66501
medium_14_N30_M250,0.99,2000,0.5,0,66397
medium_14_N30_M250,0.99,2000,0.5,1,65969
medium_14_N30_M250,0.99,2000,0.5,2,65566
medium_14_N30_M250,0.995,1000,0.2,0,66132
medium_14_N30_M250,0.995,1000,0.2,1,66573
medium_14_N30_M250,0.995,1000,0.2,2,66501
medium_14_N30_M250,0.995,1000,0.3,0,66603
medium_14_N30_M250,0.995,1000,0.3,1,66267
medium_14_N30_M250,0.995,1000,0.3,2,66490
medium_14_N30_M250,0.995,1000,0.5,0,66513
medium_14_N30_M250,0.995,1000,0.5,1,65538
medium_14_N30_M250,0.995,1000,0.5,2,66501
medium_14_N30_M250,0.995,2000,0.2,0,66397
medium_14_N30_M250,0.995,2000,0.2,1,65867
medium_14_N30_M250,0.995,2000,0.2,2,66501
medium_14_N30_M250,0.995,2000,0.3,0,65574
medium_14_N30_M250,0.995,2000,0.3,1,65867
medium_14_N30_M250,0.995,2000,0.3,2,66490
medium_14_N30_M250,0.995,2000,0.5,0,66397
medium_14_N30_M250,0.995,2000,0.5,1,65867
medium_14_N30_M250,0.995,2000,0.5,2,66307
medium_14_N30_M250,0.999,1000,0.2,0,66314
medium_14_N30_M250,0.999,1000,0.2,1,66086
medium_14_N30_M250,0.999,1000,0.2,2,66501
medium_14_N30_M250,0.999,1000,0.3,0,66132
medium_14_N30_M250,0.999,1000,0.3,1,66267
medium_14_N30_M250,0.999,1000,0.3,2,65997
medium_14_N30_M250,0.999,1000,0.5,0,66660
medium_14_N30_M250,0.999,1000,0.5,1,66701
medium_14_N30_M250,0.999,1000,0.5,2,66501
medium_14_N30_M250,0.999,2000,0.2,0,66397
medium_14_N30_M250,0.999,2000,0.2,1,66567
medium_14_N30_M250,0.999,2000,0.2,2,66086
medium_14_N30_M250,0.999,2000,0.3,0,66350
medium_14_N30_M250,0.999,2000,0.3,1,65636
medium_14_N30_M250,0.999,2000,0.3,2,66086
medium_14_N30_M250,0.999,2000,0.5,0,66397
medium_14_N30_M250,0.999,2000,0.5,1,66651
medium_14_N30_M250,0.999,2000,0.5,2,66086
medium_15_N30_M300,0.99,1000,0.2,0,79255
medium_15_N30_M300,0.99,1000,0.2,1,78335
medium_15_N30_M300,0.99,1000,0.2,2,77811
medium_15_N30_M300,0.99,1000,0.3,0,79702
medium_15_N30_M300,0.99,1000,0.3,1,78335
medium_15_N30_M300,0.99,1000,0.3,2,80491
medium_15_N30_M300,0.99,1000,0.5,0,79313
medium_15_N30_M300,0.99,1000,0.5,1,78335
medium_15_N30_M300,0.99,1000,0.5,2,80202
medium_15_N30_M300,0.99,2000,0.2,0,79702
medium_15_N30_M300,0.99,2000,0.2,1,78335
medium_15_N30_M300,0.99,2000,0.2,2,78590
medium_15_N30_M300,0.99,2000,0.3,0,79702
medium_15_N30_M300,0.99,2000,0.3,1,78335
medium_15_N30_M300,0.99,2000,0.3,2,79671
medium_15_N30_M300,0.99,2000,0.5,0,79702
medium_15_N30_M300,0.99,2000,0.5,1,78335
medium_15_N30_M300,0.99,2000,0.5,2,79616
medium_15_N30_M300,0.995,1000,0.2,0,79255
medium_15_N30_M300,0.995,1000,0.2,1,78335
medium_15_N30_M300,0.995,1000,0.2,2,77387
medium_15_N30_M300,0.995,1000,0.3,0,79234
medium_15_N30_M300,0.995,1000,0.3,1,78335
medium_15_N30_M300,0.995,1000,0.3,2,80525
medium_15_N30_M300,0.995,1000,0.5,0,79313
medium_15_N30_M300,0.995,1000,0.5,1,78335
medium_15_N30_M300,0.995,1000,0.5,2,80262
medium_15_N30_M300,0.995,2000,0.2,0,79663
medium_15_N30_M300,0.995,2000,0.2,1,78335
medium_15_N30_M300,0.995,2000,0.2,2,79126
medium_15_N30_M300,0.995,2000,0.3,0,79663
medium_15_N30_M300,0.995,2000,0.3,1,78335
medium_15_N30_M300,0.995,2000,0.3,2,79126
medium_15_N30_M300,0.995,2000,0.5,0,79663
medium_15_N30_M300,0.995,2000,0.5,1,78335
medium_15_N30_M300,0.995,2000,0.5,2,79126
medium_15_N30_M300,0.999,1000,0.2,0,79255
medium_15_N30_M300,0.999,1000,0.2,1,78335
medium_15_N30_M300,0.999,1000,0.2,2,79361
medium_15_N30_M300,0.999,1000,0.3,0,79702
medium_15_N30_M300,0.999,1000,0.3,1,78335
medium_15_N30_M300,0.999,1000,0.3,2,79198
medium_15_N30_M300,0.999,1000,0.5,0,79313
medium_15_N30_M300,0.999,1000,0.5,1,78335
medium_15_N30_M300,0.999,1000,0.5,2,80262
medium_15_N30_M300,0.999,2000,0.2,0,79663
medium_15_N30_M300,0.999,2000,0.2,1,78335
medium_15_N30_M300,0.999,2000,0.2,2,79767
medium_15_N30_M300,0.999,2000,0.3,0,79663
medium_15_N30_M300,0.999,2000,0.3,1,78335
medium_15_N30_M300,0.999,2000,0.3,2,79563
medium_15_N30_M300,0.999,2000,0.5,0,79663
medium_15_N30_M300,0.999,2000,0.5,1,77156
medium_15_N30_M300,0.999,2000,0.5,2,79650
medium_17_N35_M400,0.99,1000,0.2,0,132927
medium_17_N35_M400,0.99,1000,0.2,1,133707
medium_17_N35_M400,0.99,1000,0.2,2,133405
medium_17_N35_M400,0.99,1000,0.3,0,130458
medium_17_N35_M400,0.99,1000,0.3,1,133707
medium_17_N35_M400,0.99,1000,0.3,2,133405
medium_17_N35_M400,0.99,1000,0.5,0,133151
medium_17_N35_M400,0.99,1000,0.5,1,133707
medium_17_N35_M400,0.99,1000,0.5,2,133405
medium_17_N35_M400,0.99,2000,0.2,0,134488
medium_17_N35_M400,0.99,2000,0.2,1,133707
medium_17_N35_M400,0.99,2000,0.2,2,133405
medium_17_N35_M400,0.99,2000,0.3,0,134488
medium_17_N35_M400,0.99,2000,0.3,1,133707
medium_17_N35_M400,0.99,2000,0.3,2,133405
medium_17_N35_M400,0.99,2000,0.5,0,134488
medium_17_N35_M400,0.99,2000,0.5,1,133707
medium_17_N35_M400,0.99,2000,0.5,2,133405
medium_17_N35_M400,0.995,1000,0.2,0,132927
medium_17_N35_M400,0.995,1000,0.2,1,133707
medium_17_N35_M400,0.995,1000,0.2,2,133405
medium_17_N35_M400,0.995,1000,0.3,0,130458
medium_17_N35_M400,0.995,1000,0.3,1,133707
medium_17_N35_M400,0.995,1000,0.3,2,133405
medium_17_N35_M400,0.995,1000,0.5,0,133151
medium_17_N35_M400,0.995,1000,0.5,1,133707
medium_17_N35_M400,0.995,1000,0.5,2,130404
medium_17_N35_M400,0.995,2000,0.2,0,134488
medium_17_N35_M400,0.995,2000,0.2,2,133405
medium_17_N35_M400,0.995,2000,0.2,1,133707
medium_17_N35_M400,0.995,2000,0.3,0,134488
medium_17_N35_M400,0.995,2000,0.3,1,133707
medium_17_N35_M400,0.995,2000,0.3,2,133405
medium_17_N35_M400,0.995,2000,0.5,0,134488
medium_17_N35_M400,0.995,2000,0.5,1,133707
medium_17_N35_M400,0.995,2000,0.5,2,133405
medium_17_N35_M400,0.999,1000,0.2,0,132927
medium_17_N35_M400,0.999,1000,0.2,1,133707
medium_17_N35_M400,0.999,1000,0.2,2,133405
medium_17_N35_M400,0.999,1000,0.3,0,130458
medium_17_N35_M400,0.999,1000,0.3,1,133707
medium_17_N35_M400,0.999,1000,0.3,2,133405
medium_17_N35_M400,0.999,1000,0.5,0,133151
medium_17_N35_M400,0.999,1000,0.5,1,133707
medium_17_N35_M400,0.999,1000,0.5,2,133405
medium_17_N35_M400,0.999,2000,0.2,0,134488
medium_17_N35_M400,0.999,2000,0.2,1,133707
medium_17_N35_M400,0.999,2000,0.2,2,133405
medium_17_N35_M400,0.999,2000,0.3,0,134488
medium_17_N35_M400,0.999,2000,0.3,1,133707
medium_17_N35_M400,0.999,2000,0.3,2,132470
medium_17_N35_M400,0.999,2000,0.5,0,134488
medium_17_N35_M400,0.999,2000,0.5,1,133707
medium_17_N35_M400,0.999,2000,0.5,2,132470
