testcase,num_ants,alpha,beta,rho,k,cost
edge_infeas_26_N30_M200,50,2.0,2.0,0.1,1,-1
edge_infeas_26_N30_M200,50,2.0,2.0,0.1,2,-1
edge_infeas_26_N30_M200,50,2.0,3.0,0.1,0,-1
edge_infeas_26_N30_M200,50,2.0,3.0,0.1,1,-1
edge_infeas_26_N30_M200,50,2.0,3.0,0.1,2,-1
edge_infeas_26_N30_M200,50,2.0,4.0,0.1,0,-1
edge_infeas_26_N30_M200,50,2.0,4.0,0.1,1,-1
edge_dense_30_N50_M1000,100,1.0,3.0,0.1,1,672
edge_infeas_26_N30_M200,50,2.0,4.0,0.1,2,-1
edge_infeas_26_N30_M200,100,1.0,2.0,0.1,0,-1
edge_infeas_26_N30_M200,100,1.0,2.0,0.1,1,-1
edge_infeas_26_N30_M200,100,1.0,2.0,0.1,2,-1
edge_infeas_26_N30_M200,100,1.0,3.0,0.1,0,-1
edge_infeas_26_N30_M200,100,1.0,3.0,0.1,1,-1
edge_infeas_26_N30_M200,100,1.0,3.0,0.1,2,-1
edge_infeas_26_N30_M200,100,1.0,4.0,0.1,0,-1
edge_infeas_26_N30_M200,100,1.0,4.0,0.1,2,-1
edge_infeas_26_N30_M200,100,1.0,4.0,0.1,1,-1
edge_infeas_26_N30_M200,100,2.0,2.0,0.1,0,-1
edge_infeas_26_N30_M200,100,2.0,2.0,0.1,1,-1
edge_infeas_26_N30_M200,100,2.0,2.0,0.1,2,-1
edge_infeas_26_N30_M200,100,2.0,3.0,0.1,0,-1
edge_infeas_26_N30_M200,100,2.0,3.0,0.1,1,-1
edge_infeas_26_N30_M200,100,2.0,3.0,0.1,2,-1
edge_infeas_26_N30_M200,100,2.0,4.0,0.1,0,-1
edge_infeas_26_N30_M200,100,2.0,4.0,0.1,1,-1
edge_infeas_26_N30_M200,100,2.0,4.0,0.1,2,-1
edge_dense_30_N50_M1000,100,1.0,3.0,0.1,2,672
edge_dense_30_N50_M1000,100,1.0,4.0,0.1,0,672
edge_dense_30_N50_M1000,100,1.0,4.0,0.1,1,672
edge_dense_30_N50_M1000,100,1.0,4.0,0.1,2,672
edge_dense_30_N50_M1000,100,2.0,2.0,0.1,1,672
edge_dense_30_N50_M1000,100,2.0,2.0,0.1,0,672
edge_dense_30_N50_M1000,100,2.0,2.0,0.1,2,672
edge_dense_30_N50_M1000,100,2.0,3.0,0.1,0,672
edge_dense_30_N50_M1000,100,2.0,3.0,0.1,1,672
edge_dense_30_N50_M1000,100,2.0,3.0,0.1,2,672
edge_dense_30_N50_M1000,100,2.0,4.0,0.1,0,672
edge_dense_30_N50_M1000,100,2.0,4.0,0.1,1,672
edge_dense_30_N50_M1000,100,2.0,4.0,0.1,2,672
edge_sparse_27_N40_M800,50,1.0,2.0,0.1,0,985152
edge_sparse_27_N40_M800,50,1.0,2.0,0.1,1,998207
edge_sparse_27_N40_M800,50,1.0,2.0,0.1,2,1015915
edge_sparse_27_N40_M800,50,1.0,3.0,0.1,0,539135
edge_sparse_27_N40_M800,50,1.0,3.0,0.1,1,558253
edge_sparse_27_N40_M800,50,1.0,3.0,0.1,2,561162
edge_sparse_27_N40_M800,50,2.0,2.0,0.1,0,767984
edge_sparse_27_N40_M800,50,2.0,2.0,0.1,1,735246
edge_sparse_27_N40_M800,50,1.0,4.0,0.1,2,456457
edge_sparse_27_N40_M800,50,1.0,4.0,0.1,0,464017
edge_sparse_27_N40_M800,50,1.0,4.0,0.1,1,437685
edge_sparse_27_N40_M800,50,2.0,2.0,0.1,2,753455
edge_sparse_27_N40_M800,50,2.0,3.0,0.1,0,451730
edge_sparse_27_N40_M800,50,2.0,3.0,0.1,1,459782
edge_sparse_27_N40_M800,50,2.0,3.0,0.1,2,467500
edge_sparse_27_N40_M800,50,2.0,4.0,0.1,0,416199
edge_sparse_27_N40_M800,50,2.0,4.0,0.1,1,419979
edge_sparse_27_N40_M800,50,2.0,4.0,0.1,2,422164
edge_sparse_27_N40_M800,100,1.0,2.0,0.1,0,1134062
edge_sparse_27_N40_M800,100,1.0,2.0,0.1,1,1175505
edge_sparse_27_N40_M800,100,1.0,2.0,0.1,2,1160695
edge_sparse_27_N40_M800,100,1.0,3.0,0.1,1,631202
edge_sparse_27_N40_M800,100,1.0,3.0,0.1,0,616859
edge_sparse_27_N40_M800,100,1.0,3.0,0.1,2,628010
edge_sparse_27_N40_M800,100,1.0,4.0,0.1,1,488999
edge_sparse_27_N40_M800,100,2.0,2.0,0.1,0,1088045
edge_sparse_27_N40_M800,100,1.0,4.0,0.1,0,487649
edge_sparse_27_N40_M800,100,1.0,4.0,0.1,2,498578
edge_sparse_27_N40_M800,100,2.0,2.0,0.1,2,1106909
edge_sparse_27_N40_M800,100,2.0,2.0,0.1,1,1102770
edge_sparse_27_N40_M800,100,2.0,3.0,0.1,0,574772
edge_sparse_27_N40_M800,100,2.0,3.0,0.1,1,578741
edge_sparse_27_N40_M800,100,2.0,3.0,0.1,2,587509
edge_sparse_27_N40_M800,100,2.0,4.0,0.1,0,459586
edge_sparse_27_N40_M800,100,2.0,4.0,0.1,2,461937
large_19_N40_M800,50,1.0,2.0,0.1,1,1187514
large_19_N40_M800,50,1.0,3.0,0.1,0,526702
large_19_N40_M800,50,1.0,3.0,0.1,2,527709
large_19_N40_M800,50,1.0,3.0,0.1,1,510014
large_19_N40_M800,50,1.0,2.0,0.1,2,1200113
large_19_N40_M800,50,1.0,4.0,0.1,0,409354
large_19_N40_M800,50,1.0,4.0,0.1,2,420649
large_19_N40_M800,50,1.0,4.0,0.1,1,426348
edge_sparse_27_N40_M800,100,2.0,4.0,0.1,1,433663
large_19_N40_M800,50,1.0,2.0,0.1,0,1199022
large_19_N40_M800,50,2.0,2.0,0.1,0,870275
large_19_N40_M800,50,2.0,2.0,0.1,1,841187
large_19_N40_M800,50,2.0,2.0,0.1,2,1339653
large_19_N40_M800,50,2.0,4.0,0.1,0,393067
large_19_N40_M800,50,2.0,4.0,0.1,1,403378
large_19_N40_M800,50,2.0,4.0,0.1,2,392360
large_19_N40_M800,50,2.0,3.0,0.1,0,427073
large_19_N40_M800,50,2.0,3.0,0.1,1,434941
large_19_N40_M800,50,2.0,3.0,0.1,2,442215
