testcase,pop_size,crossover_rate,mutation_rate,cost_min,cost_avg
large_19_N40_M800,200,0.9,0.1,331561,332365.0
large_19_N40_M800,200,0.9,0.2,334819,335698.666667
large_21_N50_M1000,100,0.7,0.05,474918,475399.0
large_21_N50_M1000,100,0.7,0.1,477869,479557.0
large_21_N50_M1000,100,0.7,0.2,480406,480696.666667
large_21_N50_M1000,100,0.8,0.05,474905,477709.0
large_21_N50_M1000,100,0.8,0.1,476810,477681.0
large_21_N50_M1000,100,0.8,0.2,481015,482117.0
large_21_N50_M1000,100,0.9,0.05,475301,476710.0
large_21_N50_M1000,100,0.9,0.1,479430,480944.0
large_21_N50_M1000,100,0.9,0.2,476753,480398.333333
large_21_N50_M1000,200,0.7,0.05,479317,479777.666667
large_21_N50_M1000,200,0.7,0.1,477457,480371.666667
large_21_N50_M1000,200,0.7,0.2,480423,481367.333333
large_21_N50_M1000,200,0.8,0.05,478187,479910.666667
large_21_N50_M1000,200,0.8,0.1,480349,480916.333333
large_21_N50_M1000,200,0.8,0.2,480760,482893.666667
large_21_N50_M1000,200,0.9,0.05,479196,480258.333333
large_21_N50_M1000,200,0.9,0.1,479861,480318.333333
large_21_N50_M1000,200,0.9,0.2,479913,480841.0
large_22_N50_M1000,100,0.7,0.05,469831,473583.0
large_22_N50_M1000,100,0.7,0.1,477562,478255.333333
large_22_N50_M1000,100,0.7,0.2,477498,479990.333333
large_22_N50_M1000,100,0.8,0.05,469427,473756.333333
large_22_N50_M1000,100,0.8,0.1,475051,476190.333333
large_22_N50_M1000,100,0.8,0.2,472621,477108.0
large_22_N50_M1000,100,0.9,0.05,470095,471899.666667
large_22_N50_M1000,100,0.9,0.1,470096,476085.0
large_22_N50_M1000,100,0.9,0.2,472806,477210.666667
large_22_N50_M1000,200,0.7,0.05,476505,477313.0
large_22_N50_M1000,200,0.7,0.1,475299,478593.333333
large_22_N50_M1000,200,0.7,0.2,477956,480120.666667
large_22_N50_M1000,200,0.8,0.05,477941,479353.0
large_22_N50_M1000,200,0.8,0.1,479092,479645.0
large_22_N50_M1000,200,0.8,0.2,476306,479030.333333
large_22_N50_M1000,200,0.9,0.05,471337,472950.0
large_22_N50_M1000,200,0.9,0.1,474141,477688.333333
large_22_N50_M1000,200,0.9,0.2,478545,480709.333333
medium_14_N30_M250,100,0.7,0.05,63477,63489.0
medium_14_N30_M250,100,0.7,0.1,63477,63489.0
medium_14_N30_M250,100,0.7,0.2,63477,63501.0
medium_14_N30_M250,100,0.8,0.05,63477,63501.0
medium_14_N30_M250,100,0.8,0.1,63477,63501.0
medium_14_N30_M250,100,0.8,0.2,63477,63489.0
medium_14_N30_M250,100,0.9,0.05,63513,63513.0
medium_14_N30_M250,100,0.9,0.1,63513,63513.0
medium_14_N30_M250,100,0.9,0.2,63477,63501.0
medium_14_N30_M250,200,0.7,0.05,63477,63501.0
medium_14_N30_M250,200,0.7,0.1,63477,63489.0
medium_14_N30_M250,200,0.7,0.2,63477,63501.0
medium_14_N30_M250,200,0.8,0.05,63477,63489.0
medium_14_N30_M250,200,0.8,0.1,63513,63513.0
medium_14_N30_M250,200,0.8,0.2,63477,63501.0
medium_14_N30_M250,200,0.9,0.05,63477,63501.0
medium_14_N30_M250,200,0.9,0.1,63477,63489.0
medium_14_N30_M250,200,0.9,0.2,63477,63501.0
medium_15_N30_M300,100,0.7,0.05,65019,65611.0
medium_15_N30_M300,100,0.7,0.1,67785,68209.0
medium_15_N30_M300,100,0.7,0.2,70874,71505.666667
medium_15_N30_M300,100,0.8,0.05,64736,65894.0
medium_15_N30_M300,100,0.8,0.1,68061,69001.0
medium_15_N30_M300,100,0.8,0.2,69602,70964.0
medium_15_N30_M300,100,0.9,0.05,65116,65933.333333
medium_15_N30_M300,100,0.9,0.1,67388,67901.333333
medium_15_N30_M300,100,0.9,0.2,70879,71876.666667
medium_15_N30_M300,200,0.7,0.05,64380,65032.333333
medium_15_N30_M300,200,0.7,0.1,67155,67562.333333
medium_15_N30_M300,200,0.7,0.2,71303,72084.0
medium_15_N30_M300,200,0.8,0.05,64093,65785.0
medium_15_N30_M300,200,0.8,0.1,68014,68240.666667
medium_15_N30_M300,200,0.8,0.2,70681,71122.0
medium_15_N30_M300,200,0.9,0.05,63599,64069.0
medium_15_N30_M300,200,0.9,0.1,68037,68191.666667
medium_15_N30_M300,200,0.9,0.2,71484,72001.0
medium_17_N35_M400,100,0.7,0.05,117126,117351.666667
medium_17_N35_M400,100,0.7,0.1,118068,118596.0
medium_17_N35_M400,100,0.7,0.2,120594,120805.333333
medium_17_N35_M400,100,0.8,0.05,117532,117973.666667
medium_17_N35_M400,100,0.8,0.1,117161,118235.666667
medium_17_N35_M400,100,0.8,0.2,119802,120217.333333
medium_17_N35_M400,100,0.9,0.05,116406,117035.666667
medium_17_N35_M400,100,0.9,0.1,117878,118716.666667
medium_17_N35_M400,100,0.9,0.2,119392,120029.666667
medium_17_N35_M400,200,0.7,0.05,116046,117760.666667
medium_17_N35_M400,200,0.7,0.1,118134,118810.333333
medium_17_N35_M400,200,0.7,0.2,120038,120776.666667
medium_17_N35_M400,200,0.8,0.05,116610,117361.0
medium_17_N35_M400,200,0.8,0.1,117810,118208.0
medium_17_N35_M400,200,0.8,0.2,119833,120750.333333
medium_17_N35_M400,200,0.9,0.05,115247,116374.0
medium_17_N35_M400,200,0.9,0.1,115853,117187.666667
medium_17_N35_M400,200,0.9,0.2,118322,118561.0
